BERTopic 主题结果
主题 38:
  syria: 0.1348
  isil: 0.1215
  military: 0.0842
  ally: 0.0667
  daesh: 0.0619
  airstrikes: 0.0562
  peace: 0.0541
  iraq: 0.0491
  syrian: 0.0468
  vienna: 0.0397

主题 39:
  smoke: 0.1916
  tobacco: 0.1046
  cigarette: 0.0570
  smuggle: 0.0391
  club: 0.0377
  health: 0.0368
  advertise: 0.0368
  smoker: 0.0319
  pub: 0.0309
  product: 0.0254

主题 40:
  immigration: 0.1132
  windrush: 0.0792
  generation: 0.0405
  caribbean: 0.0390
  deportation: 0.0363
  paper: 0.0292
  border: 0.0273
  official: 0.0270
  migration: 0.0263
  commonwealth: 0.0247

主题 41:
  meal: 0.0757
  annul: 0.0615
  universal: 0.0572
  pray: 0.0497
  humble: 0.0477
  copy: 0.0439
  childcare: 0.0341
  lay: 0.0335
  date: 0.0334
  isas: 0.0333

主题 42:
  cell: 0.1067
  embryo: 0.0994
  research: 0.0898
  human: 0.0646
  stem: 0.0631
  embryonic: 0.0382
  sibling: 0.0375
  scientist: 0.0353
  ethical: 0.0344
  disease: 0.0327

主题 43:
  iraq: 0.2369
  isil: 0.1598
  pose: 0.0757
  request: 0.0719
  military: 0.0681
  territorial: 0.0657
  iraqi: 0.0637
  air: 0.0626
  international: 0.0596
  syria: 0.0582

主题 44:
  alcohol: 0.1015
  pub: 0.0998
  drink: 0.0842
  beer: 0.0736
  duty: 0.0582
  whisky: 0.0393
  license: 0.0363
  brewery: 0.0354
  premise: 0.0338
  disorder: 0.0306

主题 45:
  yearolds: 0.1037
  franchise: 0.0918
  age: 0.0821
  election: 0.0667
  citizen: 0.0570
  elector: 0.0422
  electoral: 0.0397
  commonwealth: 0.0342
  citizenship: 0.0331
  kingdom: 0.0268

主题 46:
  bank: 0.1820
  bonus: 0.0731
  levy: 0.0467
  banker: 0.0386
  lend: 0.0375
  financial: 0.0337
  economy: 0.0201
  remuneration: 0.0187
  competition: 0.0180
  taxpayer: 0.0159

主题 47:
  shop: 0.1673
  sunday: 0.1078
  street: 0.1030
  town: 0.1011
  centre: 0.0804
  bet: 0.0574
  payday: 0.0506
  rat: 0.0468
  store: 0.0467
  retailer: 0.0425

